Property_ID,Property_Name,Property_Type,Location,Original_Loan_Amount,Current_Balance,Interest_Rate,Maturity_Date,LTV_Ratio,DSCR,Occupancy_Rate,NOI,Property_Value,Servicer,Rating,Vintage
CMBS001,Metro Office Tower,Office,New York NY,125000000,98500000,4.25,2029-12-15,75.2,1.35,92.5,18500000,165000000,Wells Fargo,AAA,2024
CMBS002,Westfield Shopping Center,Retail,Los Angeles CA,85000000,72000000,5.15,2028-06-30,68.5,1.18,88.2,12200000,125000000,KeyBank,AA,2024
CMBS003,Industrial Park East,Industrial,Chicago IL,45000000,38000000,4.85,2030-03-15,72.8,1.42,95.8,5650000,62000000,Deutsche Bank,AAA,2024
CMBS004,Luxury Hotel Downtown,Hotel,Miami FL,95000000,82000000,5.85,2027-09-20,78.1,1.12,75.3,9850000,120000000,Morgan Stanley,A,2023
CMBS005,Tech Campus Phase II,Office,San Francisco CA,180000000,155000000,3.95,2031-04-10,72.4,1.48,96.2,28500000,215000000,Goldman Sachs,AAA,2023
CMBS006,Suburban Mall Complex,Retail,Dallas TX,65000000,52000000,6.25,2026-11-25,73.9,1.08,82.4,7350000,88000000,JPMorgan,BBB,2023
CMBS007,Warehouse Distribution,Industrial,Atlanta GA,35000000,28000000,5.45,2029-08-05,68.2,1.38,98.5,4250000,52000000,Bank of America,AA,2022
CMBS008,City Center Office,Office,Boston MA,110000000,88000000,4.65,2030-12-31,75.8,1.28,89.7,15800000,145000000,Citibank,AA,2022
CMBS009,Resort & Conference,Hotel,Orlando FL,75000000,61000000,6.15,2026-07-15,82.4,1.05,68.9,6890000,85000000,UBS,BBB,2022
CMBS010,Medical Office Plaza,Office,Houston TX,55000000,45000000,4.95,2028-02-28,70.3,1.35,94.1,7250000,78000000,Deutsche Bank,AA,2021
CMBS011,Power Center North,Retail,Phoenix AZ,42000000,34000000,5.75,2027-05-10,76.4,1.15,85.6,4850000,58000000,Wells Fargo,A,2021
CMBS012,Logistics Hub Central,Industrial,Memphis TN,28000000,22000000,5.25,2029-01-20,71.0,1.45,97.2,3550000,38000000,KeyBank,AAA,2021
CMBS013,Urban Multifamily,Multifamily,Seattle WA,95000000,78000000,4.35,2032-06-30,68.9,1.25,93.8,12850000,135000000,Bank of America,AA,2024
CMBS014,Student Housing Complex,Multifamily,Austin TX,48000000,41000000,5.55,2028-04-15,75.2,1.22,96.5,5980000,62000000,JPMorgan,A,2023
CMBS015,Senior Living Facility,Healthcare,Denver CO,65000000,55000000,5.05,2030-09-10,73.6,1.18,91.2,7950000,88000000,Morgan Stanley,AA,2023
