date,portfolio_value,benchmark_value,daily_return,benchmark_return
2024-01-01,100.00,100.00,0.0000,0.0000
2024-01-02,100.25,100.15,0.0025,0.0015
2024-01-03,100.45,100.30,0.0020,0.0015
2024-01-04,100.20,100.25,-0.0025,-0.0005
2024-01-05,100.35,100.40,0.0015,0.0015
2024-01-08,100.60,100.55,0.0025,0.0015
2024-01-09,100.85,100.70,0.0025,0.0015
2024-01-10,100.95,100.80,0.0010,0.0010
2024-01-11,101.20,101.05,0.0025,0.0025
2024-01-12,101.00,100.95,-0.0020,-0.0010
2024-01-15,101.35,101.20,0.0035,0.0025
2024-01-16,101.55,101.35,0.0020,0.0015
2024-01-17,101.40,101.25,-0.0015,-0.0010
2024-01-18,101.70,101.50,0.0030,0.0025
2024-01-19,101.95,101.75,0.0025,0.0025
2024-01-22,102.15,101.90,0.0020,0.0015
2024-01-23,102.35,102.10,0.0020,0.0020
2024-01-24,102.20,102.00,-0.0015,-0.0010
2024-01-25,102.50,102.25,0.0030,0.0025
2024-01-26,102.75,102.45,0.0025,0.0020
