Security_ID,Pool_Name,Original_Balance,Current_Balance,WAC,WAM,Delinquency_Rate,Default_Rate,Prepay_Speed,Credit_Enhancement,Rating,Vintage
RMBS001,Prime Residential 2024-1,500000000,425000000,5.25,298,2.1,0.8,15.2,8.5,AAA,2024
RMBS002,Alt-A Trust 2024-2,350000000,290000000,6.15,312,4.2,1.5,12.8,6.2,AA,2024
RMBS003,Jumbo Premier 2024-3,750000000,680000000,4.85,289,1.8,0.4,18.5,9.1,AAA,2024
RMBS004,Subprime Select 2023-4,200000000,145000000,7.25,278,8.5,3.2,8.9,4.5,BB,2023
RMBS005,Prime Plus 2023-5,425000000,375000000,5.75,305,2.8,1.1,14.7,7.8,AA,2023
RMBS006,Non-QM Trust 2023-6,180000000,125000000,8.15,267,12.3,5.8,6.2,3.2,B,2023
RMBS007,Prime Elite 2022-7,600000000,480000000,3.95,245,1.2,0.3,22.1,10.5,AAA,2022
RMBS008,Alt-A Select 2022-8,300000000,220000000,5.45,298,5.1,2.3,11.4,5.8,A,2022
RMBS009,Jumbo Gold 2022-9,850000000,720000000,4.25,276,1.5,0.5,19.8,8.9,AAA,2022
RMBS010,Prime Standard 2021-10,400000000,285000000,6.35,234,3.4,1.8,16.5,6.7,AA,2021
